name,source_tier,rank,symbol,timeframe_label,direction,category,sharpe,profit_factor,win_rate,trades,max_dd,oos_sharpe,sl,tp,entry_pseudo,exit_pseudo,likely_test_artifact
ATR-Confirmed-Breakout,LEGEND,LEGEND,USDJPY,M1,BOTH,TREND,-3.0050325,0.74169225,0.2924028,186674,0.18220825,0.0,0.3,0.6,(CLOSE crosses above SMA-50 AND ATR-14 > 0.001),CLOSE crosses below SMA-50,False
Aggressive-Reversal,LEGEND,LEGEND,USDJPY,W1,BOTH,TREND,-0.058173794,0.8694286,0.4,130,0.0036265147,0.0,0.2,0.5,(CLOSE < BB-LOWER AND STOCH-K crosses above 20),CLOSE >= BB-MIDDLE,False
BB-Breakout-Lower,LEGEND,LEGEND,USDJPY,M1,BOTH,TREND,-4.4109626,0.6392937,0.5406276,312657,0.25064304,0.0,0.3,0.9,CLOSE crosses below BB-LOWER,CLOSE crosses above BB-MIDDLE,False
BB-Breakout-Upper,LEGEND,LEGEND,USDJPY,M1,BOTH,TREND,-4.4109626,0.6392937,0.5406276,312657,0.25064304,0.0,0.3,0.9,CLOSE crosses above BB-UPPER,CLOSE crosses below BB-MIDDLE,False
BB-Lower-Bounce,LEGEND,LEGEND,USDJPY,W1,BOTH,TREND,-0.061388332,0.8629302,0.4031008,129,0.0037014717,0.0,0.25,0.5,CLOSE crosses above BB-LOWER,CLOSE >= BB-MIDDLE,False
BB-RSI-Reversion-Combo,LEGEND,LEGEND,USDJPY,W1,BOTH,TREND,-0.07041306,0.84515494,0.39534885,129,0.003908253,0.0,0.3,0.6,(CLOSE < BB-LOWER AND RSI-14 < 30),CLOSE >= BB-MIDDLE,False
BB-Squeeze-Expansion,LEGEND,LEGEND,USDJPY,M1,BOTH,TREND,-4.510555,0.6458082,0.54199797,320420,0.2600527,0.0,0.2,0.6,(CLOSE crosses above BB-UPPER AND CLOSE > SMA-20),CLOSE crosses below BB-UPPER,False
BB-Upper-Rejection,LEGEND,LEGEND,USDJPY,W1,BOTH,TREND,-0.061388332,0.8629302,0.4031008,129,0.0037014717,0.0,0.25,0.5,CLOSE crosses below BB-UPPER,CLOSE <= BB-MIDDLE,False
Bladerunner,LEGEND,LEGEND,USDJPY,W1,BOTH,TREND,0.14348687,1.7888,0.509434,53,0.0004985855,0.0,0.2,0.4,(CLOSE > EMA-20 AND LOW crosses above EMA-20),CLOSE < EMA-20,False
Bollinger-Band-Walk,LEGEND,LEGEND,USDJPY,W1,BOTH,TREND,-0.03456361,0.92017996,0.33870968,124,0.003586397,0.0,0.3,1.0,CLOSE > BB-UPPER,CLOSE < BB-MIDDLE,False
CCI-Trend-Breakout,LEGEND,LEGEND,USDJPY,H4,BOTH,TREND,0.12457967,1.0721107,0.4187577,2431,0.0019931018,0.0,0.25,0.5,CCI-14 crosses above 100,CCI-14 crosses below 0,False
Conservative-Trend,LEGEND,LEGEND,USDJPY,M30,BOTH,TREND,0.10539988,1.059655,0.30092153,3147,0.0027277106,0.0,0.4,0.8,(CLOSE > SMA-200 AND RSI-7 crosses above 30),RSI-7 > 70,False
